,Summary,Rate
174,delivered the product on time but the demo was not done even after two weeks for which the amount is already deducted complaint was raised but they are dragging that will be done in 24 hours but many 24 48 hours have gone,1
175,awaesome cooler it is better than symphony,5
176,flipkart delivery very nice and product in this time good,5
177,cooler is so good and cooling bestthank you flipkart,5
178,good one,5
179,nice product cooling air,4
180,best air cooler,5
181,after use of one week in extreme conditions i feel this cooler works very fine strongly recommend to buy this product,5
182,looks good purchase and economical tge power cord should have been 5 meters or 6 meters length instead of existing 2 meters given the huge size if this desert cooler,4
183,its best small family,4
184,extremely horrible servicedo not order,1
185,extremely good productgood product for lower floor and not good for the top floor,4
186,verry good indian fast desert coolar verey verry nise product,5
187,air cooler is better im happy recived your product,4
188,good product,4
189,nice product,5
190,awesome product,5
191,good cooler,5
192,very good product on very first day it fell on the floor from table with full water but quality of product is too good still working thankyou flipkart,5
193,fantastic cooling,5
194,nice cooling,5
195,worst product dont waste your money,1
196,excellent product,5
197,nice cooler awesome product,5
198,air delivery is very bad not even cooling 10x13 room,2
199,very nice,5
200,performance reduced after 2 months,3
201,its more than my expectations iam so happy and as usual excellent flipkart service,5
202,worst model all user please dont buy,1
203,not good,1
204,super,5
205,nice product,5
206,overall good product cons come without stand,5
207,good product nd fast delivery,4
208,best product with resionable price,5
209,good,4
210,nice product,5
211,coling is best another cooler,5
212,coolar is good but suggest that i thinks wheel also provide in coolar for easy movement,4
213,good to go,5
214,awesome,4
215,worst,2
216,cooler chilled the room very fast,5
217,its huge and secondly its as good as ac but the problem is you cannot control the cooling its good if you have a 1500 sqft house,5
218,it is perfect for your daughter marriage items no doubt it is big and it is room cooler,4
219,amazing product it works wonders in 45c and always go for wood woolen pads as theyre better than honeycomb,5
220,very good product dont think much more go for it absolutely value of money,5
221,it is big moving it is problematic it would have been easier to clean if the side panels were easily removable does a decent job of cooling the room,4
222,good product,4
223,its very good products in online its very well,5
224,good,4
225,its a very poor quality product dont buy its,1
226,good with price,4
227,too good product,5
228,excellent cooler happy with it,4
229,very good product in low price its our second plastic cooler and i am happy with its cooling and other features in future i definitely buy it again and recommend to others also thanks flipkart,5
230,worst product,1
231,very good product,5
232,nonetheless i gives the feel of ac,1
233,this product does not cool as much as it was written in the advertisement i am not so happy with this product,1
234,good,4
235,yup satisfied,4
236,very nice product,4
237,good onebut still sounds generated by cooler are very noisymust buy stand with this cooler,4
238,nice product thanks to flipkart for early delivery special thanks to delivery boy for gentle behaviour,5
239,nice product with decent price,4
240,prompt delivery satisfied value for money,4
241,its awesome cooler,5
242,good,5
243,excellent product water consumption is good if anyone plan to buy cooler then i recommended only the rambo,5
244,best cooler heavy duty stong body,5
245,good product,5
246,product is very good quality of product is also goodthanks flipkart for providing safe and on time delivery,4
247,not cooling,2
248,no expected speed and not cooling this product,1
249,there are no wheels to move coolerits very hard to place cooler after filling waterhorrible experiencedont go for this,1
250,have one or two very small negligible issues otherwise product is very good completely cools the room,5
251,fantastic coolar nice cooling like ac,5
252,nice product cooling and speed is good,5
253,good,5
254,superb cooler in this price,5
255,awesome,5
256,nice cooler cooling awesome,5
257,very nice product,4
258,super cooling,5
259,excellent product,4
260,nice prodouct,4
261,excellent air cooler,5
262,good air cooler value for money sound is very less build quality need to be improve,4
263,super very good product,5
264,nice one no need of ac,5
265,fantastic cooler in this range chilled more than expected,5
266,good,5
267,simple super,4
268,good product,5
269,working great three side cooling pad has increased its efficiency the fan speed and airflow amount could be better it is very difficult to put water from the front a lot of design flaws but at this price point its better than other brand products for optimal comfort and cooling the cooler needs to put outside the room in an open space or near the window of a wellventilated room,5
270,awesome product if possible pls provide wheel stand with product,5
271,good product the only draw back is there is no space for putting ice,5
272,nice product with good blower and fast cooling a real satisfaction for money,5
273,dont buy any one,1
274,this is best air cooler within 8k price tag,5
275,cooling is perfect,4
276,awesome in everythingvalue for moneynice cooling,5
277,very good product in this price,5
278,minimum price maximum performance,5
279,fantastic products in such low price go for this without hesitation,5
280,superb,5
281,very nicecooling very goodsize big,5
282,nice product,4
283,very nice product i am satisfied this order,5
284,wanted to give 5 but to handle this huge cooler atleast it should have wheels at the bottom unfortunately its not available,4
285,nice product,5
286,awesomeproductbest cooling,4
287,very very nice product,5
288,best performance and minimum soundthanku flipkart,4
289,superb go for it,5
290,good productdelivered in few days,5
291,no doubt it is good in this price,1
292,awesomefull satisfied,5
293,excellent cooling at this price rangedelivered as per the date expected,5
294,good,5
295,veri nice desert cooler size of the cooler exceed the expectations timely delivered,5
296,thank u flipcart for quick delivery,4
297,thanks to flipcart very fast delivery boys are with corona precautions best cooler but need to give more plug wire and stand this is not a cooler feel like ac,4
298,dont buy this product total waste of money and time fan speed slowly decreasing and cooling is not that good consistent,1
299,one of the best cooler good use plastic meterialbest cooling,5
300,very good product,5
301,value for money good,4
302,its good,5
303,good man,5
304,superb cooling,5
305,super,5
306,perfect cooler as its name maharaja and gives very cool air in hot and dry climate,5
307,super cool and quality,5
308,excellent team safe hygiene deliveryproduct working really great,5
309,noiselessair pressure n speed awesomecooling like acreally worth it product colour design all r decent,5
310,product is good and the behavior of delivery boy is also good nice product flipkart thankyou,5
311,nice product in this price,5
312,cooling best minimum sound fan speed goodbut some parts of the cooler are missingno service avaialblewe called flipcart they didnt respond properly finally we got the spare parts from local service shop,4
313,low on noise high capacity big inner space for cooling,5
314,good product and nice coolingbut its accupy large place it suitable in hall,5
315,best cooler i got it for 7k,5
316,very cool,4
317,excellent but its big sound as compare to others cooler,4
318,very nice product go without second thought it is far better than 70 l also as pad is wood wool it is better than hone bee its chilled the room within 15 min purchase blidenly,5
319,nice cooler in this range,4
320,cooler is good and nice coolingnice service nice coolling,4
321,this cooler is cool,5
322,everything was superbonly this was it doesnt have wheels under it,4
323,nice cooler,4
324,excellent cooler received it two days back it makes my room very cool even in mumbai the delivery boys were also very polite prompt delivery,5
325,not good water leaking after one month return period,1
326,good produt,4
327,affordable and best quality,5
328,good,4
329,excellent,5
330,not support after shell warranty,1
331,thanks,5
332,good cooling minimum power consumption over all good,5
333,good product but no instructions it is very difficult to clean it so i think its better to give instructions to open and usage also,4
334,super,4
335,amazing purchase,5
336,ok,3
337,send damage product dont buy,1
338,great product,5
339,excellent cooler excellent air flow super cooling almost silence functionsturdy bodysmart looking coolerthank to maharaja white line and flipkart,5
340,its just take lots of water,4
341,very nice best cooler must buy,5
342,its simply awesome all in one just go for it,5
343,plastic body is weak rest everything is good,4
344,overall product is good only problem is to move the cooler it doesnt have wheels and also water inlet is provided in the bottomnice product,4
345,superb cooling,5
346,one of the best best product,5
347,good cooling,5
348,i am so happy for this purchase quality of product is very good,5
349,nice product,5
350,nice,4
351,built solid cooling super effective it has water indicator fan is very sturdy as well have been using it since few days overall quite satisfied untill now proper desert cooler powerful,5
352,very nice products,5
353,its too good boss i am very happyi was purchased in 6434rs in 31mayi recomded this product in air cooler but its too large so pls saw the image than purchased,5
354,good,5
355,very good,5
356,perfact,5
357,nice cooler,5
358,very nice cooler after using for constant seven days today im writing itits worth the money,5
359,nice cooler at this price,4
360,nice product big sizeworth of money fast delivery,5
361,its ok,3
362,worth it,4
363,nice cooler,4
364,v good cooler,5
365,i love it,5
366,very fast delivery thank you,4
367,good,5
368,good item,5
369,it is working well and cost i think is some high but product is so good,5
370,awesome product by maharaja whiteline,5
371,very good product,5
372,i loved this item worth the 7500 rupees its too big than whatever we expected,5
373,product is good not got suitable stand,4
374,nice cooler,5
375,good,5
376,best in my room,5
377,nice super,5
378,good cooler,5
379,very nice recommended,5
380,its very powerful and best workingi like it but size is issuevery big sizes,5
381,working properlylike this cooler,4
382,nice product superb cooling and supersilent,5
383,overall product is very nice only drawback is it is large in size,4
384,super,5
385,very good cooler feeling like ac in summer,5
386,i love it,5
387,please take care of size before purchasing otherwise product is great i buy it in 8000 with 2 years of extended warranty,5
388,its work awesome luv it,4
389,good product as expected cooling room more than expected thanks to flipkart for fast delivery and genuine product,5
390,worthy,5
391,good,5
392,good delivery value for money best cooler ever,4
393,built quality is very good there is no light indicator in this cooler,4
394,god quality,5
395,good,5
396,you can also buy without any hesitation,4
397,nice product working is good,5
398,very good product,4
399,nice product value for money,5
400,very nice cooler gives cool air even without any water thoughtfully made by the brand maharaja whiteline well done maharaja whiteline and good job by flipkart for delivering such a big appliance without any damage,5
401,very good air cooler,4
402,good product,5
403,very nice,5
404,very good item very nice thank you flipkart,4
405,great deal perfect cooling,5
406,awesome product,5
407,the cooler is really nice light body with decent air throw real value for money,5
408,gud,4
409,its good preoduct nice,4
410,best then voltas symphony and other brands but without trolley which i made myself,4
411,excellent cooler,5
412,speed not good very slow,2
413,good product,5
414,amazing n big air cooler i love it,5
415,very good product,5
416,nice,5
417,using from a month now and results are good,5
418,good product,5
419,awesome product go for it genuine price affordablegood working low noise good delivery,5
420,waste of money dont buy,1
421,nice working with great colling it has low noise and cool air it cools hole room it is very nice,5
422,nic,5
423,very nice,5
424,good product if u r searcing cooler in this range its best product good cooling i recommend it,5
425,good product,5
426,unhappy,1
427,good,5
428,nice product,4
429,big cooler but speed is average,3
430,very good,5
431,good product,4
432,nice cooler good fantastic cooling not less than air conditioners,5
433,nice product,5
434,good,4
435,nice product good job,5
436,value for money,5
437,bad,1
438,average,3
439,very best at this price true value for the moneybut delivery was too delayed took 8 days to deliver,5
440,very good cooler in this price,5
441,superb,5
442,got it for 7200 value for money,5
443,defective product,1
444,great product at that price,5
445,great cooling,5
446,performance wise is ok cooling is good but the cooler plastic body quality is not very good,4
447,poor air throw dont go by reviews present its not even throwing till 15 ft,2
448,very bad product very noice service man is bad responsei hate this product do not buy this waste of money,2
449,awesome product but did not get any remote and stand of cooler,4
450,good product,5
451,indeed a good one but if can think of changing kush to a little better quality,4
452,awesome,5
453,capacity of cooler is not 65lt water indicator not work,1
454,awesome product must buy it,5
455,bad quality product,1
456,awesome quality,5
457,nice and super cooling,4
458,good purchase at this range of price,5
459,leaves a fishy smell sometimes which is unbearable cooling is average,3
460,super,4
461,very good,5
462,actual fan motor 91 waat and rpm1350 this is true,5
463,good product,4
464,product is not same as shown in figure,3
465,okay okay product,3
466,worst cooling normal table fan is better compared to this no cooling,1
467,superrrrrr,4
468,best,5
469,nice product with super cooling,5
470,good product and great cooling,5
471,i ordered this for me parents in north india and they are chilling nin this scorching june,5
472,after use of one day i and my family love it,4
473,i bought it for rs 6900 and its awesome,5
474,very satisfied i gifted to my father,5
475,go for it if u want good cooling and good air delivery,5
476,marvelous product,5
477,nice cooler cools the room even at 45 temperature surely go for it,5
478,outlet valve is missing well talking about cooler you wont regret something like this at such price segment even cooling is well satisfactory,4
479,cooler is good good cooling fan speed triple slow,4
480,good super cooling,4
481,absolutely useless product please never buy it even after technician coming and checking that the product was not working still the exchange was not accepted a big scam by flipkart total disgrace,1
482,grt working as said in the product it doesnt cover 700sqrfeet it does cover almost 10to15mts,4
483,very good experience,5
484,good price will go to upto 7k a full tank will go upto 67 hr,4
485,good productand add ice box remote control panel better,4
486,go,5
487,excellent,5
488,best cooler under 10000 range,4
489,super cool thanks flipkart,5
490,beyond the requirements imagination excellent cooling sound is bit high may be coz its my 1st aircooler,5
491,nice product and nice delivery,5
492,best in its class,5
493,nice product,4
494,cheap and best really awesome one,5
495,i buy it 6200in this price it is good but coolar size is too large,4
496,good,5
497,best cooler ever,4
498,average got smell using 2 times after filling water,3
499,good,4
500,no need of ac instead of this maharaja rambogreat cooling,5
501,nice,5
502,its good for mid size room apart from cooler design and plastic body electrical accessories are of average quality one concern nowhere given in manual how it will be opened and internally cleaned,4
503,nice cooling,4
504,better than expected air throw is really good to cool 400 sqft space it takes aprox 25 minutes in bangalore overall good buy,5
505,the best product that i bought from flipkart it works superb super cooling low noise like ac,5
506,used for 9 days feels good one now not sure after a month or an year will keep updated,5
507,best price best product,5
508,cooling air awesome but little noise,4
509,not go for negative comment its size perfect for room i also used for two three days perfect working not a weak motor if u buy that blindly purchase its dont get u sad,5
510,very niceon time delivery,5
511,thanku flipkart nyc product,5
512,fan speed is slow every thing else is perfect,4
513,very nice and perfect cooler in this range thank you very much flipkart team for provide us but one thing its not working in 40 to 48 degree temperature,4
514,cooler is good but size is very bigand trolley are not provided,4
515,very smoothgood product,5
516,the item is just perfect and my mom has this since last 3 years ans now i have this too perfect product,5
517,great qualitycooling is nice,5
518,nice product,5
519,super cooling capacity excellent desert cooler,5
520,not that good that mentioned,1
521,writing after using this air cooler for more than a week pros1 best pricing compared to other coolers with overall same specifications2 the body looks durable and attractive3 less energy consumptioncons 1 the motor doesnt feel that powerful2 makes more noise compared to my old symphony jumbo 70 lconclusion according to me if someone is looking for a branded plastic body cooler with an overall nice performance and also in range of 7k they must go for it,4
522,its awesome cooler huge cooler like bahubali super tough body and serve it purpose of cooling big space in no time very happy thanks maharaja and flipkart,5
523,finalize in 65k so very nice budget cooler,5
524,ok fine work,5
525,worst cooler ever poor cooling fan speed is too slow even my normal ceiling fan provides better air worst product from maharaja and flipkart sad part is they do not refund the money as well only replacement option is availablevery disappointed from flipkart,1
526,worst,1
527,i am happy,4
528,thanks i happy,5
529,superb,5
530,super,4
531,nice worth for money,5
532,cooling is ok fan speed is good must buy if u want best cooler in summer fantastic delivery too,5
533,cooler is good for a big roomonly thing that i didnt liked is the the inlet given for putting water manually inside the tankthis cooler is only feasible if you can buy a inlet pipe which should be used to fill the tank by connecting it with tapso for all the buyers please keep that thing in mind before buying it because that point is not mentioned anywhere in the descriptionfan speed cooling capacity and rest of the features are excellent,5
534,i got 7199 best in segment,5
535,good product in this price,5
536,pros big in size give cool air good air flow not too noise and better than symphony jumbocon no stand and problem in water filling because the cap is small,5
537,very good cooling it will really cool the room very efficientonly demerit is the lack of wheels u need to get a trolley if u want to use it movable,5
538,superb,5
539,very nice product,5
540,product is very powerful cooling capacity very good,4
541,very nice productfeel cool like acbut trolly should be provideddifficult for movingany how thanks to flipkart for quick delivery within 3 days at this lockdown,4
542,nice coolingnice product,5
543,best cooler i have ever seen,5
544,super,5
545,cooling 55noice 45quality 55over all a good producti happy with this 495,5
546,good condition,5
547,good quality cooler in suitable range i got it in 7199 only,4
548,good quality and delivery service very good thanks flipkart,5
549,good one nice cooling best for mid sized room in summer power bill also reasonable,5
550,very very good,5
551,best cooler in under 7k,5
552,good,5
553,nice product i am happy with this product,5
554,very effective for this summer,5
555,this item is superb and excellent,5
556,awesome air cooler but they should provide stand or wheel with the product,4
557,nice,5
558,great cooling at night but creates humidity in noon time but i am still glad as i need blanket in summer also,4
559,with in 1 month fan blade broken suddenly noisy and vibrating cooler,1
560,very effective for cooling big rooms and spaces only drawback is the size of the cooler,4
561,worst experience with flipkart,1
562,nice product from maharaja thanks to flipkart for fast delivery,4
563,ok good,5
564,good product,5
565,good,4
566,nice cooler,5
567,good luck,4
568,good,5
569,good,5
570,nice,5
571,nice coolar,5
572,awesome product,5
573,super quality,4
574,thanks flipkart,4
575,working as expected,5
576,supee,5
577,super,5
578,good brandproduct speed high acceptable and body high quality thanks flipkart,5
579,super,5
580,good,4
581,decent purchase,5
582,very great experience,5
583,bad bad quality and bad courier service,1
584,good air throw,5
585,good product,5
586,very bad product totally vest of money,1
587,amezing,5
588,good,4
589,good,4
590,cooler is averagefan speed is high which cause a little bit noise but youll get use to itcooling is ok depend on weather not water in the tankthe worst thing is no wheels,3
591,good,5
592,super thanks flipkart,4
593,good product,4
594,large space neededworking good,4
595,very nice product,5
596,not working properly not able return also so for me it is verry bad product it should be returnable product cause if it is not working properly people have choice to book different one very bad product,1
597,working fine sofar as expected,5
598,coolest cooler tough product must buy,4
599,delivered on time thanks flipkart,5
600,best cooler if using for small room,5
601,very good product air pressure is high cover two rooms body material also good worth buying,5
602,nice but could have been better,4
603,simply superb,5
604,awsome,5
605,good product,5
606,large sizecooling is low,1
607,maharaja white line rambo air cooler received from flipkart service before the scheduled time that item is in good condition excellent material thanks to flipkart,5
608,good,4
609,superb,5
610,good air cooler,4
611,body veey poor,1
612,osm,5
613,good machine works well and powerful as well only drawback is its difficult to move because of its size i wished it had wheels as well,5
614,good cooling,5
615,nice cooler,5
616,maharaja cooler very poor colety,1
617,very good cooler amazing cooling paisa wasool,4
618,its really a good product im happy with this,5
619,normal dont expect more,3
620,not worthy,2
621,vry nice product,5
622,i get this product in only 9990 rs this cooler is very nice,5
623,excellent,4
624,i brought it for my parents they are enjoying it thanks to maharaja and flipkart,5
625,nice products,5
626,best,5
627,it is a good product works good even at 4546 degree temperature cooling capacity air throw evrything is good overall it is nice product,4
628,superb product first cooling capacity,5
629,good,5
630,excellent product,5
631,very bad product,2
632,good product,4
633,cooling is superb noise is too low only issue is that we fant open its doors,5
634,superb product cooling efficiency was soo good,4
635,superb product,4
636,product is good but its parts are fixed loosely it is very difficult to open the cooler to remove old stock water,3
637,awesome,5
638,good product,4
639,good cooler with good range,5
640,nyc cooler,5
641,cooler is average small size and costly rather than market,2
642,happy,5
643,excellent cooling it cools my big hall the only problem is filling water,5
644,very good quality of this and cooling system is lowest point,4
645,good product,4
646,its a good product from maharaja can go for it,4
647,its a great cooler but i did see some issues with the automatic swing in just after 4 days of usage its making weird noises now,4
648,nice,4
649,very nice cooler this price cooling is exilentbut cooler size is very heavy,5
650,nice delivered in proper condition,5
651,good,4
652,nice cooler,4
653,super cooling,5
654,just go for itsuper cooling,5
655,nice,5
656,awsome product colling awsome in 15 minuts but trolly not given flipkart make me dissappointed,4
657,super,5
658,very good cooler in this price range,5
659,super product,5
660,nice working,4
661,best dessert cooler in plastic body with lower power consumption,5
662,good product in reasonable price,4
663,worst product,1
664,good product on time delivery,4
665,very big and very worst performance total money waste,1
666,wonderful product go for it,5
667,nyc packingnd product is amazing,5
668,superrrrr cooling tq to flipcart,5
669,nice and fine,4
670,its liter capacity is good cooling big product must buy realy ameging by flipcart,5
671,awesome product very happy with the performance,5
672,good,4
673,very good air cooler at this price sufficient for 250sqft room,4
674,delivered safelyhv to wait for review,5
675,very good product u should buy,5
676,nice product satisfied thanks flipkart,5
677,nice cooler high cooling capacity and heavy and durable body,5
678,superb very very good paisa vasul,5
679,cooler performance is excellent cooling is at its best when its placed outside the windowi dont know about service but have to see in futurebest buy but old date product is shippedthat should nt be expected from flipkarti got little dissatisfaction still its ok because its working goodfinally the product is good,5
680,excellent product with excellent delivery speed,5
681,nice,5
682,nice product on time delivery,4
683,super cooling,5
684,awesome product,5
